name,threshold,h,s,v
black,0,0,0,0
black,1,179,255,40
gray,0,0,0,41
gray,1,179,60,180
white,0,0,0,181
white,1,179,60,255
red,0,0,61,41
red,1,7,255,255
brown,0,8,61,41
brown,1,19,220,130
brown,0,8,61,131
brown,1,19,220,255
brown,0,8,221,41
brown,1,19,255,130
orange,0,8,221,131
orange,1,19,255,255
yellow,0,20,61,41
yellow,1,34,255,255
green,0,35,61,41
green,1,86,255,255
blue,0,87,61,41
blue,1,131,255,255
purple,0,132,61,41
purple,1,150,255,255
pink,0,151,61,41
pink,1,166,255,131
red,0,167,61,41
red,1,179,255,255
